code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
GVR,2025-05-26,15:05:02,HOSE,STOCK,27.0,28.85,25.15,27.2,28.85,26.5,28.85,28.013,27.2,28.85,26.5,28.85,28.013,7422100.0,207917730000.0,0.0,0.0,1.85,1.85,6.8519
GVR,2025-05-23,15:05:02,HOSE,STOCK,26.85,28.7,25.0,27.0,27.2,26.65,27.0,26.919,27.0,27.2,26.65,27.0,26.919,1813500.0,48817565000.0,0.0,0.0,0.15,0.15,0.5587
GVR,2025-05-22,15:05:01,HOSE,STOCK,27.3,29.2,25.4,27.25,27.7,26.85,26.85,27.241,27.25,27.7,26.85,26.85,27.241,3665000.0,99838435000.0,43900.0,1212030000.0,-0.45,-0.45,-1.6484
GVR,2025-05-21,15:05:02,HOSE,STOCK,27.7,29.6,25.8,27.95,27.95,27.15,27.3,27.358,27.95,27.95,27.15,27.3,27.358,2845700.0,77851990000.0,0.0,0.0,-0.4,-0.4,-1.444
GVR,2025-05-20,15:05:01,HOSE,STOCK,27.2,29.1,25.3,27.2,28.0,27.0,27.7,27.637,27.2,28.0,27.0,27.7,27.637,3284000.0,90760960000.0,0.0,0.0,0.5,0.5,1.8382
GVR,2025-05-19,15:05:01,HOSE,STOCK,27.7,29.6,25.8,27.5,28.05,27.2,27.2,27.566,27.5,28.05,27.2,27.2,27.566,3455100.0,95241915000.0,21000.0,581700000.0,-0.5,-0.5,-1.8051
GVR,2025-05-16,15:05:02,HOSE,STOCK,28.1,30.05,26.15,28.1,28.2,27.7,27.7,27.882,28.1,28.2,27.7,27.7,27.882,2693400.0,75097325000.0,0.0,0.0,-0.4,-0.4,-1.4235
GVR,2025-05-15,15:05:01,HOSE,STOCK,28.0,29.95,26.05,28.1,28.3,27.45,28.1,27.774,28.1,28.3,27.45,28.1,27.774,4569500.0,126914540000.0,22600.0,676870000.0,0.1,0.1,0.3571
GVR,2025-05-14,15:05:02,HOSE,STOCK,28.65,30.65,26.65,28.7,28.7,27.85,28.0,28.098,28.7,28.7,27.85,28.0,28.098,5543500.0,155762870000.0,75000.0,2258750000.0,-0.65,-0.65,-2.2688
GVR,2025-05-13,15:05:02,HOSE,STOCK,27.95,29.9,26.0,28.35,28.85,28.25,28.65,28.481,28.35,28.85,28.25,28.65,28.481,6543300.0,186361475000.0,0.0,0.0,0.7,0.7,2.5045
